Ruta: /home/tarde/Documentos
Nombre,Tamaño,Permisos,Tipo
Acceso a datos,4096,drwxrwxr-x,directorio
Desarrollo de interfaces,4096,drwxrwxr-x,directorio
Digitalización Aplicada a los Sectores Productivo,4096,drwxrwxr-x,directorio
DriveFisica,4096,drwxrwxr-x,directorio
Itinerario Personal Para la Empleabilidad II,4096,drwxrwxr-x,directorio
Programación de Servicios y Procesos,4096,drwxrwxr-x,directorio
Programación Multimedia y Dispositivos Móviles,4096,drwxrwxr-x,directorio
Proyecto intermodular,4096,drwxrwxr-x,directorio
Seguridad Informática Orientada a la Programación,4096,drwxrwxr-x,directorio
Sistemas de Gestión Empresarial,4096,drwxrwxr-x,directorio
tokenGithub.txt,41,-rw-rw-r--,archivo
UserMoodle.txt,14,-rw-rw-r--,archivo
